Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
373,Vaincre le racisme à coup de musique,"TURCOT, Geneviève",Le Droit,,,9 avril 2005,2006-04-09,2006-04-09,p. A3,,,,Entrevue,"ZPN (Muipatavi, David)|Afro Connexion|LB 4Life|racisme|hip hop|chanson engagée"
374,Présentation spéciale aux Beaux-dimanches. La Nuit sur l'étang : un petit événement qui est devenu grand,"LAURIN, Renée",Le Droit,,,23 juillet 1993,1993-07-23,1993-07-23,p. 19,,,,Texte d'information,La Nuit sur l'étang|historique
375,25 ans sur disque,,Le Droit,,,10 avril 1998,1998-04-10,1998-04-10,p. A12,,,,Annonce,La Nuit sur l'étang
376,Le Franco 1993. Garoulou : un retour après 10 ans,"LABBÉ, Francis",Le Droit,,,19 juin 1993,1993-06-19,1993-06-19,p. A8,,,,Texte d'information,"Garolou|Lalonde, Marc|Gagnon, Gaston|Deguire, Michel (Stan)"
377,"Franco-Ontarians celebrate language in night of laughter, song and satire",,The Gazette,,,6 juillet 1989,1989-07-06,1989-07-06,p. A6,,,,Analyse,"La Nuit sur l'étang|Dalpé, Jean Marc|langue|identité|prix du Gouverneur général"
378,La Nuit sur l'etang wins music award,,Sudbury Star,,,23 mars 2001,2001-03-23,2001-03-23,p. A3,,,,Annonce,La Nuit sur l'étang|prix Trille Or
379,La Nuit sur l'Etang brings diverse musicians to Sudbury,,Sudbury Star,,,18 octobre 2002,2002-10-18,2002-10-18,p. B1,,,,Annonce,"La Nuit sur l'étang|DiCaire, Véronic|En Bref|Afro Connexion|Paquette, Stéphane (Stef)"
380,La Nuit sur l'etang expands,,Sudbury Star,,,25 septembre 2002,2002-09-25,2002-09-25,p. A3,,,,Texte d'information,La Nuit sur l'étang
381,Une relève qui promet à Ontario Pop,"TURCOT, Geneviève",Le Droit,,,25 juin 2005,2005-06-25,2005-06-25,p. 43,,,,Texte d'information,Ontario Pop|finalistes
382,Le Franco 1993. Finale du concours Ontario Pop animée par Laurence Jalbert au CNA,"LEMIEUX, Julie",Le Droit,,,22 juin 1993,1993-06-22,1993-06-22,p. 24,,,,Texte d'information,Ontario Pop|finalistes
383,Ontario Pop : le jury fixe son choix,,Le Droit,,,21 avril 1994,1994-04-21,1994-04-21,p. 29,,,,Texte d'information,Ontario Pop|finalistes
384,Le goût de chanter en français,"JOANISSE, Marc-André",Le Droit,,,4 juin 1994,1994-06-04,1994-06-04,p. A3,,,,Texte d'information,Ontario Pop|finalistes|historique
385,Ontario Pop a ses finalistes,,Le Droit,,,11 avril 1995,1995-04-11,1995-04-11,p. 32,,,,Texte d'information,Ontario Pop|finalistes
386,Qui parle de gagner ? Le concurrents d'Ontario Pop,"JOANISSE, Marc-André",Le Droit,,,9 juin 1995,1995-06-09,1995-06-09,p. A3,,,,Texte d'information,Ontario Pop|finalistes
387,Les finalistes d'Ontario Pop en stage chez les professionnels,"PILON, France",Le Droit,,,24 juin 1999,1999-06-24,1999-06-24,p. 26,,,,Texte d'information,Ontario Pop|finalistes
388,Donald Poliquin trente ans de vie artistique,"PILON, France",Le Droit,,,15 juin 2002,2002-06-15,2002-06-15,p. A3,,,,Portrait,"Poliquin, Donald|folklore|Festival Franco-ontarien|Chapeau Donald"
389,Songs we learned from our grandparents Poliquin's folk music cheerful,"LACEY, Liam",The Globe and Mail,,,17 février 1982,1982-02-17,1982-02-17,p. P17,,,,Compte rendu,"Poliquin, Donald|folklore|Lanthier, Roger|Tanguay, Louise"
390,Folk-song trio encourages sing-a-long,"WATERS, Anne-Marie",The Ottawa Citizen,,,24 août 1990,1990-08-24,1990-08-24,p. D4,,,,Annonce,"Poliquin, Donald|musique dans les écoles|folklore"
391,Échos de Garolou,"GRATTON, Denis",Le Droit,,,9 avril 2004,2004-04-09,2004-04-09,p. 8,,,,Portrait,"Lalonde, Marc|Garolou"
392,Garolou reprend le collier. Un retour en bonne et due forme avec un nouvel album,"BILODEAU, Michel",Le Soleil,,,7 octobre 1997,1997-10-07,1997-10-07,p. C12,,,,Portrait,"Garolou|Lalonde, Marc|Gagnon, Gaston|Guay, Réginald|Deguire, Michel (Stan)|Lalonde, Michel"
393,Le retour de Garolou,"LEMIEUX, Julie",Le Droit,,,15 juin 1996,1996-06-15,1996-06-15,p. A12,,,,Portrait,"Garolou|Lalonde, Marc|Gagnon, Gaston|Guay, Réginald|Deguire, Michel (Stan)|Lalonde, Michel"
394,Garolou a trouvé son deuxième souffle,,Le Droit,,,27 avril 2000,2000-04-27,2000-04-27,p. 32,,,"Aussi paru chez : La Presse, 22 avril 2000, p. D4 et Le Soleil, 21 avril 2000, p. C6",Portrait,"Garolou|Lalonde, Marc|Gagnon, Gaston|Guay, Réginald|Deguire, Michel (Stan)|Lalonde, Michel"
395,Le retour de Garolou,"BARRIÈRE, Caroline",Le Droit,,,24 décembre 1999,1999-12-24,1999-12-24,p. A11,,,,Annonce,"Mémoire vive|Garolou|Gagnon, Gaston|Guay, Réginald|Deguire, Michel (Stan)|Lalonde, Michel|Lalonde, Marc"
396,Garolou reprend la route,,Le Soleil,,,7 janvier 2000,2000-01-07,2000-01-07,p. C3,,,"Auss paru chez : La Presse, 6 janver 2000, p. C6 et paru avec le sous-titre ""Avec un nouvel album de poche"" chez Le Droit, 6 janvier 2000, p. 25",Annonce,"Mémoire vive|Garolou|Gagnon, Gaston|Guay, Réginald|Deguire, Michel (Stan)|Lalonde, Marc|Lalonde, Michel"
397,Bobby Lalonde chante Noël,,Le Droit,,,1 décembre 1999,1999-12-01,1999-12-01,p. 31,,,,Annonce,"Lalonde, Bobby|Bobby Lalonde chante Noël"
398,Garolou reprend le collier. Le groupe folklo-rock franco-canadien sera en tournée tout l'été,,Le Devoir,,,20 juillet 1994,1994-07-20,1994-07-20,p. B7,,,,Portrait,"Garolou|Gagnon, Gaston|Deguire, Michel (Stan)|Lalonde, Michel|Guay, Réginald|identité|folk-rock"
